My Prev,Incoming Shot,Incoming Direction,Opponent Previous,Outgoing Direction,Outgoing Shot,Point Winner,Rally,Serving,Serve,Second Prev,Opponent_2nd,Prev Shot,Surface
3,backhand groundstroke,left,1,right,forehand groundstoke,0,3.0,yes,out wide,1,3,out wide,Grass
2,forehand groundstoke,middle,1,left,forehand groundstoke,0,4.0,yes,body,1,2,body,Grass
5,backhand slice,middle,1,left,forehand swing volley,1,4.0,yes,out wide,1,5,out wide,Grass
1,forehand groundstoke,right,1,middle,forehand groundstoke,0,3.0,yes,out wide,1,1,out wide,Grass
3,backhand groundstroke,left,3,right,backhand groundstroke,0,9.0,yes,down the t,3,1,backhand groundstroke,Grass
2,backhand groundstroke,middle,3,left,backhand dropshot,0,6.0,yes,down the t,3,1,forehand groundstoke,Grass
3,backhand slice,left,1,middle,backhand groundstroke,1,4.0,yes,out wide,1,3,out wide,Grass
2,backhand slice,middle,1,left,forehand dropshot,1,3.0,yes,down the t,1,2,down the t,Grass
1,forehand groundstoke,right,1,left,forehand groundstoke,1,3.0,yes,out wide,1,1,out wide,Grass
3,forehand groundstoke,left,2,right,backhand groundstroke,0,7.0,yes,out wide,3,2,forehand groundstoke,Grass
3,forehand groundstoke,left,1,left,backhand slice,0,3.0,yes,body,1,3,body,Grass
3,backhand groundstroke,left,3,left,backhand groundstroke,0,5.0,yes,down the t,2,1,forehand groundstoke,Grass
2,forehand groundstoke,middle,1,right,backhand groundstroke,0,3.0,yes,out wide,1,2,out wide,Grass
4,forehand lob,right,1,left,forehand overhead,1,5.0,yes,out wide,3,1,backhand groundstroke,Grass
3,backhand slice,left,1,left,backhand groundstroke,1,3.0,yes,down the t,1,3,down the t,Grass
2,backhand slice,middle,1,right,forehand groundstoke,0,3.0,yes,down the t,1,2,down the t,Grass
3,backhand groundstroke,left,3,right,backhand slice,1,6.0,yes,down the t,3,1,backhand slice,Grass
2,forehand groundstoke,middle,1,left,forehand groundstoke,0,4.0,yes,out wide,1,2,out wide,Grass
1,forehand groundstoke,right,1,middle,forehand groundstoke,1,4.0,yes,out wide,1,1,out wide,Grass
1,backhand groundstroke,right,3,middle,forehand groundstoke,0,9.0,yes,out wide,3,3,forehand groundstoke,Grass
2,forehand slice,middle,1,left,forehand groundstoke,1,6.0,yes,down the t,3,1,forehand groundstoke,Grass
3,forehand slice,left,1,middle,backhand groundstroke,1,10.0,yes,out wide,3,1,backhand slice,Grass
5,backhand slice,middle,3,right,backhand volley,1,9.0,yes,down the t,3,1,backhand groundstroke,Grass
3,backhand groundstroke,left,1,left,forehand groundstoke,1,4.0,yes,out wide,1,3,out wide,Grass
2,forehand groundstoke,middle,1,right,forehand groundstoke,1,4.0,yes,down the t,1,2,down the t,Grass
2,forehand groundstoke,middle,1,left,forehand groundstoke,1,7.0,yes,out wide,2,1,forehand groundstoke,Grass
3,backhand groundstroke,left,2,left,backhand groundstroke,0,5.0,yes,body,3,1,backhand slice,Grass
5,backhand groundstroke,middle,1,left,backhand half volley,0,4.0,yes,down the t,1,5,down the t,Grass
6,backhand slice,left,1,right,forehand swing volley,1,3.0,yes,out wide,1,6,out wide,Grass
1,forehand groundstoke,right,2,right,forehand groundstoke,0,5.0,yes,body,3,1,backhand slice,Grass
1,forehand groundstoke,right,1,left,forehand groundstoke,1,7.0,yes,out wide,3,1,forehand groundstoke,Grass
3,backhand groundstroke,left,3,left,backhand groundstroke,0,5.0,yes,body,3,1,forehand groundstoke,Grass
3,backhand slice,left,1,left,forehand groundstoke,1,3.0,yes,out wide,1,3,out wide,Grass
2,forehand groundstoke,middle,1,left,backhand groundstroke,1,4.0,yes,out wide,1,2,out wide,Grass
6,backhand slice,left,1,right,backhand volley,1,3.0,yes,out wide,1,6,out wide,Grass
2,backhand groundstroke,middle,3,right,forehand groundstoke,1,9.0,yes,body,1,2,forehand groundstoke,Grass
1,forehand groundstoke,right,1,left,forehand groundstoke,1,3.0,yes,out wide,1,1,out wide,Grass
3,backhand slice,left,1,right,backhand groundstroke,1,3.0,yes,out wide,1,3,out wide,Grass
1,forehand groundstoke,right,1,left,forehand groundstoke,1,3.0,yes,out wide,1,1,out wide,Grass
6,backhand slice,left,1,right,forehand swing volley,1,3.0,yes,out wide,1,6,out wide,Grass
