My Prev,Incoming Shot,Incoming Direction,Opponent Previous,Outgoing Direction,Outgoing Shot,Point Winner,Rally,Serving,Serve,Second Prev,Opponent_2nd,Prev Shot,Surface
1,forehand groundstoke,right,3,right,forehand groundstoke,1,8,yes,down the t,3,3,backhand groundstroke,Hard
1,forehand groundstoke,right,1,middle,forehand groundstoke,0,6,yes,out wide,2,1,forehand groundstoke,Hard
4,backhand groundstroke,right,3,right,forehand volley,0,5,yes,out wide,3,1,backhand slice,Hard
2,backhand groundstroke,middle,1,left,forehand groundstoke,1,4,yes,out wide,1,2,out wide,Hard
1,forehand groundstoke,right,2,right,forehand groundstoke,1,6,yes,out wide,2,1,forehand groundstoke,Hard
2,forehand groundstoke,middle,1,left,forehand groundstoke,1,4,yes,out wide,1,2,out wide,Hard
2,forehand groundstoke,middle,1,right,forehand groundstoke,1,3,yes,down the t,1,2,down the t,Hard
2,forehand groundstoke,middle,1,left,forehand groundstoke,1,4,yes,down the t,1,2,down the t,Hard
3,backhand slice,left,3,middle,backhand slice,0,22,yes,down the t,3,3,backhand slice,Hard
2,backhand groundstroke,middle,3,right,backhand groundstroke,0,9,yes,body,3,3,forehand groundstoke,Hard
3,forehand groundstoke,left,1,middle,backhand groundstroke,0,3,yes,down the t,1,3,down the t,Hard
3,forehand groundstoke,left,2,left,backhand lob,0,6,yes,out wide,2,1,backhand groundstroke,Hard
1,backhand groundstroke,right,1,right,forehand groundstoke,1,4,yes,down the t,1,1,down the t,Hard
2,backhand groundstroke,middle,3,middle,backhand groundstroke,0,5,yes,down the t,2,1,forehand groundstoke,Hard
1,forehand groundstoke,right,1,left,forehand groundstoke,0,20,yes,down the t,3,3,backhand groundstroke,Hard
1,backhand groundstroke,right,3,middle,forehand groundstoke,0,7,yes,down the t,3,2,backhand groundstroke,Hard
2,forehand groundstoke,middle,3,middle,forehand groundstoke,1,6,yes,body,2,1,backhand groundstroke,Hard
2,backhand groundstroke,middle,1,left,forehand groundstoke,1,4,yes,out wide,1,2,out wide,Hard
2,backhand groundstroke,middle,1,right,forehand groundstoke,1,4,yes,down the t,1,2,down the t,Hard
2,forehand groundstoke,middle,1,right,backhand groundstroke,0,5,yes,out wide,3,1,backhand slice,Hard
1,backhand dropshot,right,2,left,forehand groundstoke,0,6,yes,out wide,2,1,forehand groundstoke,Hard
2,backhand groundstroke,middle,1,left,forehand groundstoke,1,4,yes,out wide,1,2,out wide,Hard
3,backhand groundstroke,left,1,middle,backhand groundstroke,0,4,yes,down the t,1,3,down the t,Hard
1,backhand dropshot,right,3,right,forehand groundstoke,0,10,yes,out wide,1,1,forehand groundstoke,Hard
2,forehand groundstoke,middle,1,left,forehand groundstoke,1,4,yes,out wide,1,2,out wide,Hard
3,backhand groundstroke,left,3,right,backhand groundstroke,1,10,yes,down the t,3,2,backhand groundstroke,Hard
2,backhand groundstroke,middle,1,middle,forehand groundstoke,1,4,yes,down the t,1,2,down the t,Hard
2,forehand groundstoke,middle,1,left,forehand groundstoke,0,3,yes,out wide,1,2,out wide,Hard
